(7145,2,503,502,501,513)
(7146,2,516,506,505,504)
(7147,2,503,515,505,504)
(7657,2,504,505,506,516)
(7658,2,513,501,502,503)
(7659,2,504,514,502,503)
(7148,3,503,502,501,513)
(7149,3,516,506,505,504)
(7150,3,503,515,505,504)
(7660,3,504,505,506,516)
(7661,3,513,501,502,503)
(7662,3,504,514,502,503)
(7151,4,503,502,501,513)
(7152,4,516,506,505,504)
(7153,4,503,515,505,504)
(7663,4,504,505,506,516)
(7664,4,513,501,502,503)
(7665,4,504,514,502,503)
(3049,4,515,519,508,522)
(3050,4,502,514,518,522)
(3051,4,515,519,523,511)
(3561,4,522,518,505,515)
(3562,4,511,523,519,515)
(3563,4,522,508,519,515)
(7154,5,503,502,501,513)
(7155,5,516,506,505,504)
(7156,5,503,515,505,504)
(7666,5,504,505,506,516)
(7667,5,513,501,502,503)
(7668,6,504,505,506,516)
(3052,6,515,519,508,522)
(3053,6,502,514,518,522)
(3054,6,515,519,523,511)
(3564,6,522,518,514,502)
(3565,6,511,523,519,515)
(3566,6,522,508,519,515)
(7157,7,503,502,501,513)
(7158,7,516,506,505,504)
(7159,7,503,515,505,504)
(7669,7,504,505,506,516)
(7670,7,513,501,502,503)
(7671,7,504,514,502,503)
(3055,7,515,519,508,522)
(3056,7,502,514,518,522)
(3057,7,515,519,523,511)
(3567,7,522,518,505,515)
(3568,7,511,523,519,515)
(3569,7,522,508,519,515)
(7160,8,503,502,501,513)
(7161,8,516,506,505,504)
(7162,8,503,515,505,504)
(7672,8,504,505,506,516)
(7673,8,513,501,502,503)
(7674,8,504,514,502,503)
(3058,8,515,519,508,522)
(3059,8,502,514,518,522)
(3060,8,515,519,523,511)
(3570,8,522,518,505,515)
(3571,8,511,523,519,515)
(3572,9,522,518,505,515)
(7163,10,503,502,501,513)
(7164,10,516,506,505,504)
(7165,10,503,515,505,504)
(7675,10,504,505,506,516)
(7676,10,513,501,502,503)
(7677,10,504,514,502,503)
(3061,10,515,519,508,522)
(3062,10,502,514,518,522)
(3063,10,515,519,523,511)
(3573,10,522,518,505,515)
(3574,10,511,523,519,515)
(3575,10,522,508,519,515)
(7166,11,503,502,501,513)
(7167,11,516,506,505,504)
(7168,11,503,515,505,504)
(7678,11,504,505,506,516)
(7679,11,513,501,502,503)
(7680,11,504,514,502,503)
(3064,11,515,519,508,522)
(3065,11,502,514,518,522)
(3066,11,515,519,523,511)
(3576,11,522,518,505,515)
(3577,11,511,523,519,515)
(3578,11,522,508,519,515)
(7169,12,503,502,501,513)
(7170,12,516,506,505,504)
(7171,12,503,515,505,504)
(7681,12,504,505,506,516)
(7682,12,513,501,502,503)
(7683,13,504,505,506,516)
(3067,13,515,519,508,522)
(3068,13,502,514,518,522)
(3069,13,515,519,523,511)
(3579,13,522,518,514,502)
(3580,13,511,523,519,515)
(3581,13,522,508,519,515)
(7172,14,503,502,501,513)
(7173,14,516,506,505,504)
(7174,14,503,515,505,504)
(7684,14,504,505,506,516)
(7685,14,513,501,502,503)
(7686,14,504,514,502,503)
(3070,14,515,519,508,522)
(3071,14,502,514,518,522)
(3072,14,515,519,523,511)
(3582,14,522,518,505,515)
(3583,14,511,523,519,515)
(3584,14,522,508,519,515)
(7175,15,503,502,501,513)
(7176,15,516,506,505,504)
(7177,15,503,515,505,504)
(7687,15,504,505,506,516)
(7688,15,513,501,502,503)
(7689,15,504,514,502,503)
(3073,15,515,519,508,522)
(3074,15,502,514,518,522)
(3075,15,515,519,523,511)
(3585,15,522,518,505,515)
(3586,15,511,523,519,515)
(3587,16,522,518,505,515)
(7178,17,503,502,501,513)
(7179,17,516,506,505,504)
(7180,17,503,515,505,504)
(7690,17,504,505,506,516)
(7691,17,513,501,502,503)
(7692,17,504,514,502,503)
(3076,17,515,519,508,522)
(3077,17,502,514,518,522)
(3078,17,515,519,523,511)
(3588,17,522,518,505,515)
(3589,17,511,523,519,515)
(3590,17,522,508,519,515)
(7181,18,503,502,501,513)
(7182,18,516,506,505,504)
(7183,18,503,515,505,504)
(7693,18,504,505,506,516)
(7694,18,513,501,502,503)
(7695,18,504,514,502,503)
(3079,18,515,519,508,522)
(3080,18,502,514,518,522)
(3081,18,515,519,523,511)
(3591,18,522,518,505,515)
(3592,18,511,523,519,515)
(3593,18,522,508,519,515)
(7184,19,503,502,501,513)
(7185,19,516,506,505,504)
(7186,19,503,515,505,504)
(7696,19,504,505,506,516)
(7697,19,513,501,502,503)
(7698,20,504,505,506,516)
(3082,20,515,519,508,522)
(3083,20,502,514,518,522)
(3084,20,515,519,523,511)
(3594,20,522,518,514,502)
(3595,20,511,523,519,515)
(3596,20,522,508,519,515)
(7187,21,503,502,501,513)
(7188,21,516,506,505,504)
(7189,21,503,515,505,504)
(7699,21,504,505,506,516)
(7700,21,513,501,502,503)
(7701,21,504,514,502,503)
(3085,21,515,519,508,522)
(3086,21,502,514,518,522)
(3087,21,515,519,523,511)
(3597,21,522,518,505,515)
(3598,21,511,523,519,515)
(3599,21,522,508,519,515)
(7190,22,503,502,501,513)
(7191,22,516,506,505,504)
(7192,22,503,515,505,504)
(7702,22,504,505,506,516)
(7703,22,513,501,502,503)
(7704,22,504,514,502,503)
(3088,22,515,519,508,522)
(3089,22,502,514,518,522)
(3090,22,515,519,523,511)
(3600,22,522,518,505,515)
(3601,22,511,523,519,515)
(3602,23,522,518,505,515)
(7193,24,503,502,501,513)
(7194,24,516,506,505,504)
(7195,24,503,515,505,504)
(7705,24,504,505,506,516)
(7706,24,513,501,502,503)
(7707,24,504,514,502,503)
(3091,24,515,519,508,522)
(3092,24,502,514,518,522)
(3093,24,515,519,523,511)
(3603,24,522,518,505,515)
(3604,24,511,523,519,515)
(3605,24,522,508,519,515)
(7196,25,503,502,501,513)
(7197,25,516,506,505,504)
(7198,25,503,515,505,504)
(7708,25,504,505,506,516)
(7709,25,513,501,502,503)
(7710,25,504,514,502,503)
(3094,25,515,519,508,522)
(3095,25,502,514,518,522)
(3096,25,515,519,523,511)
(3606,25,522,518,505,515)
(3607,25,511,523,519,515)
